LHS	RHS	supp	conf
02-Det. house, 12-Husb.Income=08	10-Husb.work.class=PrivateWorker	7,94337	81,78138
02-Det. house, 08-Husb.:other Asia	01-H. owned	8,92646	92,65306
02-Det. house, 08-Husb.:other Asia	09-Wife:other Asia	7,90405	82,04082
02-Det. house, 12-Husb.Income=06	01-H. owned	12,70153	90,98592
02-Det. house, NO	01-H. owned	31,73417	82,34694
02-Det. house, NO	10-Husb.work.class=PrivateWorker	27,25128	70,71429
06-Husb.:no college, 10-Husb.work.class=PrivateWorker	02-Det. house	10,18482	70,76503
06-Husb.:no college, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	11,28588	78,41530
06-Husb.:no college, 11-Wife.work.class=PrivateWorker	02-Det. house	10,06685	70,13699
06-Husb.:no college, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	11,28588	78,63014
06-Husb.:no college, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	9,39835	71,55689
06-Husb.:no college, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	9,43767	71,85629
06-Husb.:no college, NO	11-Wife.work.class=PrivateWorker	9,47700	70,67449
08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	01-H. owned	26,22886	74,35897
08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	02-Det. house	26,70075	75,69677
08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	26,81872	76,03122
08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	09-Wife:West Europe	24,93118	70,68004
08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	03-Vechicl.=2	24,81321	70,34560
08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	01-H. owned	25,08848	72,41771
08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	02-Det. house	25,63901	74,00681
08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	26,81872	77,41203
08-Husb.:West Europe, YES	01-H. owned	16,24066	82,43513
08-Husb.:West Europe, YES	02-Det. house	16,43728	83,43313
08-Husb.:West Europe, YES	10-Husb.work.class=PrivateWorker	14,47110	73,45309
08-Husb.:West Europe, YES	11-Wife.work.class=PrivateWorker	14,07786	71,45709
08-Husb.:West Europe, YES	03-Vechicl.=2	14,78569	75,04990
08-Husb.:West Europe, 09-Wife:West Europe	01-H. owned	25,24577	74,04844
08-Husb.:West Europe, 09-Wife:West Europe	02-Det. house	25,91427	76,00923
08-Husb.:West Europe, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	24,93118	73,12572
08-Husb.:West Europe, 03-Vechicl.=2	01-H. owned	25,56036	74,79862
08-Husb.:West Europe, 03-Vechicl.=2	02-Det. house	25,99292	76,06444
08-Husb.:West Europe, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	24,81321	72,61220
08-Husb.:West Europe, 07-Wife:no college	02-Det. house	8,37593	79,18216
08-Husb.:West Europe, 07-Wife:no college	11-Wife.work.class=PrivateWorker	7,98270	75,46468
08-Husb.:West Europe, 06-Husb.:associate	01-H. owned	14,90366	81,33047
08-Husb.:West Europe, 06-Husb.:associate	02-Det. house	14,35313	78,32618
08-Husb.:West Europe, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	13,29139	72,53219
08-Husb.:West Europe, 06-Husb.:associate	03-Vechicl.=2	13,21274	72,10300
08-Husb.:West Europe, 12-Husb.Income=05	01-H. owned	8,69052	72,93729
08-Husb.:West Europe, 12-Husb.Income=05	02-Det. house	8,80849	73,92739
08-Husb.:West Europe, 12-Husb.Income=05	10-Husb.work.class=PrivateWorker	8,61188	72,27723
08-Husb.:West Europe, 12-Husb.Income=05	11-Wife.work.class=PrivateWorker	8,49390	71,28713
08-Husb.:West Europe, 12-Husb.Income=05	03-Vechicl.=2	8,72985	73,26733
08-Husb.:West Europe, 07-Wife:associate	01-H. owned	15,57216	77,49511
08-Husb.:West Europe, 07-Wife:associate	02-Det. house	15,25757	75,92955
08-Husb.:West Europe, 07-Wife:associate	10-Husb.work.class=PrivateWorker	14,86433	73,97260
08-Husb.:West Europe, 07-Wife:associate	11-Wife.work.class=PrivateWorker	14,11718	70,25440
08-Husb.:West Europe, 07-Wife:associate	09-Wife:West Europe	14,39245	71,62427
08-Husb.:West Europe, 07-Wife:associate	03-Vechicl.=2	14,19583	70,64579
08-Husb.:West Europe, 01-H. not owned	11-Wife.work.class=PrivateWorker	9,55564	73,19277
08-Husb.:West Europe, 01-H. not owned	NO	9,59497	73,49398
08-Husb.:West Europe, 12-Husb.Income=06	01-H. owned	7,90405	79,76190
08-Husb.:West Europe, 12-Husb.Income=06	02-Det. house	8,13999	82,14286
09-Wife:other Asia, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	10,34212	74,50425
09-Wife:other Asia, 10-Husb.work.class=PrivateWorker	08-Husb.:other Asia	10,26347	73,93768
09-Wife:other Asia, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	10,34212	77,81065
09-Wife:other Asia, 11-Wife.work.class=PrivateWorker	08-Husb.:other Asia	9,75226	73,37278
09-Wife:other Asia, 03-Vechicl.=2	01-H. owned	8,65120	70,28754
09-Wife:other Asia, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	9,28038	75,39936
09-Wife:other Asia, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	8,96579	72,84345
09-Wife:other Asia, 08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	10,26347	76,99115
09-Wife:other Asia, 08-Husb.:other Asia	11-Wife.work.class=PrivateWorker	9,75226	73,15634
10-Husb.work.class=PrivateWorker, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	11,99371	74,75490
10-Husb.work.class=PrivateWorker, YES	01-H. owned	22,88635	76,57895
10-Husb.work.class=PrivateWorker, YES	02-Det. house	23,27959	77,89474
10-Husb.work.class=PrivateWorker, YES	11-Wife.work.class=PrivateWorker	21,86394	73,15789
10-Husb.work.class=PrivateWorker, YES	03-Vechicl.=2	21,47070	71,84211
10-Husb.work.class=PrivateWorker, 09-Wife:West Europe	01-H. owned	25,32442	73,76861
10-Husb.work.class=PrivateWorker, 09-Wife:West Europe	02-Det. house	25,95360	75,60137
10-Husb.work.class=PrivateWorker, 09-Wife:West Europe	08-Husb.:West Europe	24,93118	72,62314
10-Husb.work.class=PrivateWorker, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	26,18954	76,28866
10-Husb.work.class=PrivateWorker, 09-Wife:West Europe	03-Vechicl.=2	24,18403	70,44674
10-Husb.work.class=PrivateWorker, 03-Vechicl.=2	01-H. owned	35,70586	72,35060
10-Husb.work.class=PrivateWorker, 03-Vechicl.=2	02-Det. house	35,43059	71,79283
10-Husb.work.class=PrivateWorker, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	37,27880	75,53785
10-Husb.work.class=PrivateWorker, 07-Wife:no college	02-Det. house	10,26347	75,43353
10-Husb.work.class=PrivateWorker, 07-Wife:no college	11-Wife.work.class=PrivateWorker	10,61738	78,03468
10-Husb.work.class=PrivateWorker, 06-Husb.:associate	01-H. owned	18,16752	77,64706
10-Husb.work.class=PrivateWorker, 06-Husb.:associate	02-Det. house	17,42037	74,45378
10-Husb.work.class=PrivateWorker, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	16,86984	72,10084
10-Husb.work.class=PrivateWorker, 06-Husb.:associate	03-Vechicl.=2	17,02713	72,77311
10-Husb.work.class=PrivateWorker, 12-Husb.Income=05	11-Wife.work.class=PrivateWorker	12,54424	77,80488
10-Husb.work.class=PrivateWorker, 07-Wife:associate	01-H. owned	20,36964	76,62722
10-Husb.work.class=PrivateWorker, 07-Wife:associate	02-Det. house	19,22926	72,33728
10-Husb.work.class=PrivateWorker, 07-Wife:associate	11-Wife.work.class=PrivateWorker	19,81911	74,55621
10-Husb.work.class=PrivateWorker, 07-Wife:associate	03-Vechicl.=2	19,22926	72,33728
10-Husb.work.class=PrivateWorker, 01-H. not owned	11-Wife.work.class=PrivateWorker	17,22375	73,12187
10-Husb.work.class=PrivateWorker, 01-H. not owned	NO	16,55525	70,28381
10-Husb.work.class=PrivateWorker, 03-Vechicl.=3	01-H. owned	8,69052	80,65693
10-Husb.work.class=PrivateWorker, 03-Vechicl.=3	02-Det. house	9,16241	85,03650
10-Husb.work.class=PrivateWorker, 03-Vechicl.=3	11-Wife.work.class=PrivateWorker	8,13999	75,54745
10-Husb.work.class=PrivateWorker, 12-Husb.Income=08	01-H. owned	8,21864	81,00775
10-Husb.work.class=PrivateWorker, 12-Husb.Income=08	02-Det. house	7,94337	78,29457
10-Husb.work.class=PrivateWorker, 08-Husb.:other Asia	09-Wife:other Asia	10,26347	83,38658
10-Husb.work.class=PrivateWorker, 08-Husb.:other Asia	11-Wife.work.class=PrivateWorker	9,28038	75,39936
10-Husb.work.class=PrivateWorker, 02-Apart.	11-Wife.work.class=PrivateWorker	11,91506	73,36562
10-Husb.work.class=PrivateWorker, 02-Apart.	01-H. not owned	13,76327	84,74576
10-Husb.work.class=PrivateWorker, 02-Apart.	NO	11,67912	71,91283
10-Husb.work.class=PrivateWorker, 12-Husb.Income=06	01-H. owned	9,63429	79,54545
10-Husb.work.class=PrivateWorker, 12-Husb.Income=06	02-Det. house	9,39835	77,59740
10-Husb.work.class=PrivateWorker, 12-Husb.Income=06	11-Wife.work.class=PrivateWorker	8,88714	73,37662
10-Husb.work.class=PrivateWorker, 12-Husb.Income=06	03-Vechicl.=2	8,49390	70,12987
10-Husb.work.class=PrivateWorker, NO	11-Wife.work.class=PrivateWorker	32,99253	75,79042
11-Wife.work.class=PrivateWorker, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	11,99371	77,41117
11-Wife.work.class=PrivateWorker, YES	01-H. owned	21,98191	78,07263
11-Wife.work.class=PrivateWorker, YES	02-Det. house	21,94259	77,93296
11-Wife.work.class=PrivateWorker, YES	10-Husb.work.class=PrivateWorker	21,86394	77,65363
11-Wife.work.class=PrivateWorker, YES	03-Vechicl.=2	20,05505	71,22905
11-Wife.work.class=PrivateWorker, 09-Wife:West Europe	01-H. owned	24,41998	74,01669
11-Wife.work.class=PrivateWorker, 09-Wife:West Europe	02-Det. house	24,69524	74,85101
11-Wife.work.class=PrivateWorker, 09-Wife:West Europe	08-Husb.:West Europe	23,71215	71,87128
11-Wife.work.class=PrivateWorker, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	26,18954	79,38021
11-Wife.work.class=PrivateWorker, 03-Vechicl.=2	01-H. owned	33,89697	71,77352
11-Wife.work.class=PrivateWorker, 03-Vechicl.=2	02-Det. house	33,50374	70,94088
11-Wife.work.class=PrivateWorker, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	37,27880	78,93422
11-Wife.work.class=PrivateWorker, 07-Wife:no college	02-Det. house	10,89265	72,89474
11-Wife.work.class=PrivateWorker, 07-Wife:no college	10-Husb.work.class=PrivateWorker	10,61738	71,05263
11-Wife.work.class=PrivateWorker, 06-Husb.:associate	01-H. owned	17,38105	79,06977
11-Wife.work.class=PrivateWorker, 06-Husb.:associate	02-Det. house	16,83052	76,56530
11-Wife.work.class=PrivateWorker, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	16,86984	76,74419
11-Wife.work.class=PrivateWorker, 06-Husb.:associate	03-Vechicl.=2	15,53284	70,66190
11-Wife.work.class=PrivateWorker, 12-Husb.Income=05	01-H. owned	11,63980	72,01946
11-Wife.work.class=PrivateWorker, 12-Husb.Income=05	10-Husb.work.class=PrivateWorker	12,54424	77,61557
11-Wife.work.class=PrivateWorker, 12-Husb.Income=05	03-Vechicl.=2	11,44318	70,80292
11-Wife.work.class=PrivateWorker, 07-Wife:associate	01-H. owned	19,42587	77,79528
11-Wife.work.class=PrivateWorker, 07-Wife:associate	02-Det. house	18,16752	72,75591
11-Wife.work.class=PrivateWorker, 07-Wife:associate	10-Husb.work.class=PrivateWorker	19,81911	79,37008
11-Wife.work.class=PrivateWorker, 07-Wife:associate	03-Vechicl.=2	17,69564	70,86614
11-Wife.work.class=PrivateWorker, 01-H. not owned	10-Husb.work.class=PrivateWorker	17,22375	78,77698
11-Wife.work.class=PrivateWorker, 01-H. not owned	NO	15,69013	71,76259
11-Wife.work.class=PrivateWorker, 03-Vechicl.=3	01-H. owned	8,76917	80,50542
11-Wife.work.class=PrivateWorker, 03-Vechicl.=3	02-Det. house	9,04444	83,03249
11-Wife.work.class=PrivateWorker, 03-Vechicl.=3	10-Husb.work.class=PrivateWorker	8,13999	74,72924
11-Wife.work.class=PrivateWorker, 08-Husb.:other Asia	01-H. owned	8,29729	71,52542
11-Wife.work.class=PrivateWorker, 08-Husb.:other Asia	09-Wife:other Asia	9,75226	84,06780
11-Wife.work.class=PrivateWorker, 08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	9,28038	80,00000
11-Wife.work.class=PrivateWorker, 02-Apart.	10-Husb.work.class=PrivateWorker	11,91506	79,11227
11-Wife.work.class=PrivateWorker, 02-Apart.	01-H. not owned	12,54424	83,28982
11-Wife.work.class=PrivateWorker, 02-Apart.	NO	10,89265	72,32376
11-Wife.work.class=PrivateWorker, 12-Husb.Income=06	01-H. owned	9,39835	80,47138
11-Wife.work.class=PrivateWorker, 12-Husb.Income=06	02-Det. house	9,35902	80,13468
11-Wife.work.class=PrivateWorker, 12-Husb.Income=06	10-Husb.work.class=PrivateWorker	8,88714	76,09428
11-Wife.work.class=PrivateWorker, NO	10-Husb.work.class=PrivateWorker	32,99253	78,48457
12-Husb.Income=04, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	10,38144	74,15730
12-Husb.Income=04, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	9,98820	71,34831
12-Husb.Income=04, NO	10-Husb.work.class=PrivateWorker	10,34212	71,66213
12-Husb.Income=04, NO	11-Wife.work.class=PrivateWorker	10,26347	71,11717
YES, 09-Wife:West Europe	01-H. owned	15,10028	82,22698
YES, 09-Wife:West Europe	02-Det. house	15,45419	84,15418
YES, 09-Wife:West Europe	08-Husb.:West Europe	13,52733	73,66167
YES, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	14,07786	76,65953
YES, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	12,93748	70,44968
YES, 09-Wife:West Europe	03-Vechicl.=2	13,60598	74,08994
