LSH	RHS	supp	conf	
02-Apart., 09-Wife:West Europe	NO	11,64449	73,35329	
02-Apart., 10-Husb.work.class=PrivateWorker	01-H. not owned	39,44867	94,53303	
02-Apart., 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	30,37072	72,77904	
02-Apart., YES	01-H. not owned	19,20152	96,88249	
02-Apart., YES	10-Husb.work.class=PrivateWorker	16,01711	80,81535	
02-Apart., 06-Husb.:no college	01-H. not owned	12,30989	93,84058	
02-Apart., 06-Husb.:no college	10-Husb.work.class=PrivateWorker	10,07605	76,81159	
02-Apart., 06-Husb.:no college	11-Wife.work.class=PrivateWorker	10,17110	77,53623	
02-Apart., 07-Wife:no college	01-H. not owned	14,87643	94,56193	
02-Apart., 07-Wife:no college	10-Husb.work.class=PrivateWorker	12,35741	78,54985	
02-Apart., 07-Wife:no college	11-Wife.work.class=PrivateWorker	13,07034	83,08157	
02-Apart., 11-Wife.work.class=PrivateWorker	01-H. not owned	35,17110	94,75032	
02-Apart., 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	30,37072	81,81818	
02-Apart., 12-Husb.Income=04	01-H. not owned	19,39163	93,79310	
02-Apart., 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	15,92205	77,01149	
02-Apart., 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	15,49430	74,94253	
02-Apart., 06-Husb.:associate	01-H. not owned	11,69202	92,83019	
02-Apart., 06-Husb.:associate	10-Husb.work.class=PrivateWorker	10,17110	80,75472	
02-Apart., 06-Husb.:associate	NO	10,36122	82,26415	
02-Apart., 09-Wife:Mexico	01-H. not owned	16,63498	95,89041	
02-Apart., 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	14,87643	85,75342	
02-Apart., 09-Wife:Mexico	08-Husb.:Mexico	14,11597	81,36986	
02-Apart., 08-Husb.:Mexico	01-H. not owned	16,63498	97,22222	
02-Apart., 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	14,49620	84,72222	
02-Apart., 08-Husb.:Mexico	09-Wife:Mexico	14,11597	82,50000	
02-Apart., 03-Vechicl.=1	01-H. not owned	18,25095	97,70992	
02-Apart., 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	15,01901	80,40712	
02-Apart., 12-Husb.Income=03	01-H. not owned	12,54753	96,35036	
02-Apart., 12-Husb.Income=03	10-Husb.work.class=PrivateWorker	10,69392	82,11679	
02-Apart., 07-Wife:associate	01-H. not owned	13,49810	91,90939	
02-Apart., 07-Wife:associate	10-Husb.work.class=PrivateWorker	11,73954	79,93528	
02-Apart., 07-Wife:associate	NO	12,54753	85,43689	
02-Apart., NO	01-H. not owned	30,18061	93,38235	
02-Apart., NO	10-Husb.work.class=PrivateWorker	25,71293	79,55882	
02-Apart., NO	11-Wife.work.class=PrivateWorker	23,66920	73,23529	
03-Vechicl.=2, 08-Husb.:West Europe	09-Wife:West Europe	17,96578	71,72676	
03-Vechicl.=2, 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	18,96388	75,71157	
03-Vechicl.=2, 08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	19,39163	77,41935	
03-Vechicl.=2, 09-Wife:West Europe	01-H. not owned	16,77757	70,31873	
03-Vechicl.=2, 09-Wife:West Europe	08-Husb.:West Europe	17,96578	75,29880	
03-Vechicl.=2, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	18,20342	76,29482	
03-Vechicl.=2, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	18,77376	78,68526	
03-Vechicl.=2, 10-Husb.work.class=PrivateWorker	01-H. not owned	29,42015	70,18141	
03-Vechicl.=2, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	33,26996	79,36508	
03-Vechicl.=2, YES	10-Husb.work.class=PrivateWorker	15,49430	78,36538	
03-Vechicl.=2, YES	11-Wife.work.class=PrivateWorker	15,20913	76,92308	
03-Vechicl.=2, 02-Det. house	10-Husb.work.class=PrivateWorker	15,16160	74,70726	
03-Vechicl.=2, 02-Det. house	11-Wife.work.class=PrivateWorker	15,06654	74,23888	
03-Vechicl.=2, 06-Husb.:no college	10-Husb.work.class=PrivateWorker	13,16540	75,68306	
03-Vechicl.=2, 06-Husb.:no college	11-Wife.work.class=PrivateWorker	13,49810	77,59563	
03-Vechicl.=2, 07-Wife:no college	01-H. not owned	13,73574	71,53465	
03-Vechicl.=2, 07-Wife:no college	10-Husb.work.class=PrivateWorker	14,63878	76,23762	
03-Vechicl.=2, 07-Wife:no college	11-Wife.work.class=PrivateWorker	16,11217	83,91089	
03-Vechicl.=2, 11-Wife.work.class=PrivateWorker	01-H. not owned	29,65779	71,39588	
03-Vechicl.=2, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	33,26996	80,09153	
03-Vechicl.=2, 12-Husb.Income=04	01-H. not owned	17,82319	70,75472	
03-Vechicl.=2, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	19,24905	76,41509	
03-Vechicl.=2, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	19,39163	76,98113	
03-Vechicl.=2, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	10,55133	76,02740	
03-Vechicl.=2, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	10,64639	76,71233	
03-Vechicl.=2, 06-Husb.:associate	NO	11,07414	79,79452	
03-Vechicl.=2, 09-Wife:Mexico	01-H. not owned	10,07605	70,90301	
03-Vechicl.=2, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	11,45437	80,60201	
03-Vechicl.=2, 09-Wife:Mexico	11-Wife.work.class=PrivateWorker	10,12357	71,23746	
03-Vechicl.=2, 09-Wife:Mexico	08-Husb.:Mexico	10,40875	73,24415	
03-Vechicl.=2, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	11,07414	80,62284	
03-Vechicl.=2, 08-Husb.:Mexico	11-Wife.work.class=PrivateWorker	9,79087	71,28028	
03-Vechicl.=2, 08-Husb.:Mexico	09-Wife:Mexico	10,40875	75,77855	
03-Vechicl.=2, 01-H. owned	10-Husb.work.class=PrivateWorker	12,50000	76,67638	
03-Vechicl.=2, 01-H. owned	11-Wife.work.class=PrivateWorker	11,88213	72,88630	
03-Vechicl.=2, 07-Wife:associate	10-Husb.work.class=PrivateWorker	12,40494	78,37838	
03-Vechicl.=2, 07-Wife:associate	NO	13,45057	84,98498	
03-Vechicl.=2, NO	01-H. not owned	24,14449	70,06897	
03-Vechicl.=2, NO	10-Husb.work.class=PrivateWorker	26,42586	76,68966	
03-Vechicl.=2, NO	11-Wife.work.class=PrivateWorker	26,33080	76,41379	
06-Husb.:school, 10-Husb.work.class=PrivateWorker	01-H. not owned	12,69011	74,78992	
06-Husb.:school, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	13,21293	77,87115	
06-Husb.:school, 11-Wife.work.class=PrivateWorker	01-H. not owned	12,26236	76,33136	
06-Husb.:school, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	13,21293	82,24852	
07-Wife:school, 10-Husb.work.class=PrivateWorker	01-H. not owned	10,88403	70,46154	
07-Wife:school, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	12,35741	80,00000	
07-Wife:school, 11-Wife.work.class=PrivateWorker	01-H. not owned	10,12357	71,00000	
07-Wife:school, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	12,35741	86,66667	
08-Husb.:West Europe, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	19,43916	74,90842	
08-Husb.:West Europe, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	20,43726	78,75458	
08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	01-H. not owned	19,67681	70,16949	
08-Husb.:West Europe, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	23,33650	83,22034	
08-Husb.:West Europe, YES	11-Wife.work.class=PrivateWorker	9,93346	81,32296	
08-Husb.:West Europe, 02-Det. house	09-Wife:West Europe	10,69392	71,88498	
08-Husb.:West Europe, 02-Det. house	10-Husb.work.class=PrivateWorker	10,93156	73,48243	
08-Husb.:West Europe, 02-Det. house	11-Wife.work.class=PrivateWorker	11,64449	78,27476	
08-Husb.:West Europe, 06-Husb.:no college	11-Wife.work.class=PrivateWorker	9,50570	78,43137	
08-Husb.:West Europe, 07-Wife:no college	01-H. not owned	9,55323	72,04301	
08-Husb.:West Europe, 07-Wife:no college	10-Husb.work.class=PrivateWorker	9,74335	73,47670	
08-Husb.:West Europe, 07-Wife:no college	11-Wife.work.class=PrivateWorker	11,31179	85,30466	
08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	01-H. not owned	20,53232	70,35831	
08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	09-Wife:West Europe	20,43726	70,03257	
08-Husb.:West Europe, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	23,33650	79,96743	
08-Husb.:West Europe, 12-Husb.Income=04	09-Wife:West Europe	11,78707	72,51462	
08-Husb.:West Europe, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	11,97719	73,68421	
08-Husb.:West Europe, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	12,45247	76,60819	
08-Husb.:West Europe, 07-Wife:associate	10-Husb.work.class=PrivateWorker	9,60076	78,59922	
08-Husb.:West Europe, 07-Wife:associate	NO	10,40875	85,21401	
08-Husb.:West Europe, NO	03-Vechicl.=2	17,49049	70,76923	
08-Husb.:West Europe, NO	09-Wife:West Europe	17,53802	70,96154	
08-Husb.:West Europe, NO	10-Husb.work.class=PrivateWorker	19,15399	77,50000	
08-Husb.:West Europe, NO	11-Wife.work.class=PrivateWorker	19,24905	77,88462	
09-Wife:West Europe, 10-Husb.work.class=PrivateWorker	01-H. not owned	18,96388	71,50538	
09-Wife:West Europe, 10-Husb.work.class=PrivateWorker	08-Husb.:West Europe	19,43916	73,29749	
09-Wife:West Europe, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	21,72053	81,89964	
09-Wife:West Europe, YES	11-Wife.work.class=PrivateWorker	9,88593	82,86853	
09-Wife:West Europe, 02-Det. house	08-Husb.:West Europe	10,69392	74,75083	
09-Wife:West Europe, 02-Det. house	10-Husb.work.class=PrivateWorker	10,50380	73,42193	
09-Wife:West Europe, 02-Det. house	11-Wife.work.class=PrivateWorker	11,26426	78,73754	
09-Wife:West Europe, 06-Husb.:no college	11-Wife.work.class=PrivateWorker	9,55323	78,51563	
09-Wife:West Europe, 07-Wife:no college	01-H. not owned	9,83840	74,19355	
09-Wife:West Europe, 07-Wife:no college	10-Husb.work.class=PrivateWorker	9,64829	72,75986	
09-Wife:West Europe, 07-Wife:no college	11-Wife.work.class=PrivateWorker	11,40684	86,02151	
09-Wife:West Europe, 11-Wife.work.class=PrivateWorker	01-H. not owned	19,91445	71,62393	
09-Wife:West Europe, 11-Wife.work.class=PrivateWorker	08-Husb.:West Europe	20,43726	73,50427	
09-Wife:West Europe, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	21,72053	78,11966	
09-Wife:West Europe, 12-Husb.Income=04	01-H. not owned	12,16730	74,20290	
09-Wife:West Europe, 12-Husb.Income=04	03-Vechicl.=2	11,59696	70,72464	
09-Wife:West Europe, 12-Husb.Income=04	08-Husb.:West Europe	11,78707	71,88406	
09-Wife:West Europe, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	12,26236	74,78261	
09-Wife:West Europe, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	12,78517	77,97101	
09-Wife:West Europe, 07-Wife:associate	NO	9,93346	85,65574	
09-Wife:West Europe, NO	01-H. not owned	16,34981	70,49180	
09-Wife:West Europe, NO	03-Vechicl.=2	16,39734	70,69672	
09-Wife:West Europe, NO	08-Husb.:West Europe	17,53802	75,61475	
09-Wife:West Europe, NO	10-Husb.work.class=PrivateWorker	17,77567	76,63934	
09-Wife:West Europe, NO	11-Wife.work.class=PrivateWorker	17,91825	77,25410	
10-Husb.work.class=PrivateWorker, 12-Husb.Income=05	11-Wife.work.class=PrivateWorker	10,97909	79,10959	
10-Husb.work.class=PrivateWorker, YES	01-H. not owned	25,57034	76,31206	
10-Husb.work.class=PrivateWorker, YES	11-Wife.work.class=PrivateWorker	24,95247	74,46809	
10-Husb.work.class=PrivateWorker, 02-Det. house	11-Wife.work.class=PrivateWorker	21,10266	79,71275	
10-Husb.work.class=PrivateWorker, 06-Husb.:no college	11-Wife.work.class=PrivateWorker	17,15779	80,22222	
10-Husb.work.class=PrivateWorker, 07-Wife:no college	01-H. not owned	17,82319	73,52941	
10-Husb.work.class=PrivateWorker, 07-Wife:no college	11-Wife.work.class=PrivateWorker	20,67490	85,29412	
10-Husb.work.class=PrivateWorker, 11-Wife.work.class=PrivateWorker	01-H. not owned	43,34601	73,01841	
10-Husb.work.class=PrivateWorker, 12-Husb.Income=04	01-H. not owned	23,09886	71,68142	
10-Husb.work.class=PrivateWorker, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	24,80989	76,99115	
10-Husb.work.class=PrivateWorker, 06-Husb.:associate	01-H. not owned	12,45247	75,50432	
10-Husb.work.class=PrivateWorker, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	12,69011	76,94524	
10-Husb.work.class=PrivateWorker, 06-Husb.:associate	NO	13,11787	79,53890	
10-Husb.work.class=PrivateWorker, 09-Wife:Mexico	01-H. not owned	21,10266	78,03163	
10-Husb.work.class=PrivateWorker, 09-Wife:Mexico	11-Wife.work.class=PrivateWorker	19,24905	71,17750	
10-Husb.work.class=PrivateWorker, 09-Wife:Mexico	08-Husb.:Mexico	22,24335	82,24956	
10-Husb.work.class=PrivateWorker, 08-Husb.:Mexico	01-H. not owned	20,72243	77,71836	
10-Husb.work.class=PrivateWorker, 08-Husb.:Mexico	11-Wife.work.class=PrivateWorker	18,91635	70,94474	
10-Husb.work.class=PrivateWorker, 08-Husb.:Mexico	09-Wife:Mexico	22,24335	83,42246	
10-Husb.work.class=PrivateWorker, 03-Vechicl.=1	01-H. not owned	19,53422	88,00857	
10-Husb.work.class=PrivateWorker, 12-Husb.Income=03	01-H. not owned	15,30418	87,97814	
10-Husb.work.class=PrivateWorker, 12-Husb.Income=03	11-Wife.work.class=PrivateWorker	12,69011	72,95082	
10-Husb.work.class=PrivateWorker, 06-Husb.:no school	01-H. not owned	12,83270	83,59133	
10-Husb.work.class=PrivateWorker, 06-Husb.:no school	09-Wife:Mexico	11,88213	77,39938	
10-Husb.work.class=PrivateWorker, 06-Husb.:no school	08-Husb.:Mexico	12,11977	78,94737	
10-Husb.work.class=PrivateWorker, 07-Wife:no school	01-H. not owned	9,69582	86,44068	
10-Husb.work.class=PrivateWorker, 01-H. owned	11-Wife.work.class=PrivateWorker	16,01711	79,66903	
10-Husb.work.class=PrivateWorker, 07-Wife:associate	01-H. not owned	13,97338	73,50000	
10-Husb.work.class=PrivateWorker, 07-Wife:associate	NO	15,96958	84,00000	
10-Husb.work.class=PrivateWorker, NO	01-H. not owned	32,65209	72,85260	
10-Husb.work.class=PrivateWorker, NO	11-Wife.work.class=PrivateWorker	34,41065	76,77625	
12-Husb.Income=05, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	10,97909	83,69565	
YES, 02-Det. house	10-Husb.work.class=PrivateWorker	12,78517	78,42566	
YES, 02-Det. house	11-Wife.work.class=PrivateWorker	12,40494	76,09329	
YES, 07-Wife:no college	01-H. not owned	11,31179	73,68421	
YES, 07-Wife:no college	10-Husb.work.class=PrivateWorker	11,50190	74,92260	
YES, 07-Wife:no college	11-Wife.work.class=PrivateWorker	12,30989	80,18576	
YES, 11-Wife.work.class=PrivateWorker	01-H. not owned	22,05323	72,72727	
YES, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	24,95247	82,28840	
YES, 12-Husb.Income=04	01-H. not owned	13,68821	73,09645	
YES, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	14,78137	78,93401	
YES, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	14,06844	75,12690	
YES, 09-Wife:Mexico	01-H. not owned	14,25856	77,92208	
YES, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	15,39924	84,15584	
YES, 09-Wife:Mexico	08-Husb.:Mexico	16,06464	87,79221	
YES, 08-Husb.:Mexico	01-H. not owned	14,54373	77,27273	
YES, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	15,73194	83,58586	
YES, 08-Husb.:Mexico	09-Wife:Mexico	16,06464	85,35354	
YES, 03-Vechicl.=1	01-H. not owned	13,11787	89,32039	
YES, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	11,64449	79,28803	
YES, 12-Husb.Income=03	01-H. not owned	9,60076	90,17857	
YES, 06-Husb.:no school	01-H. not owned	9,74335	84,36214	
YES, 06-Husb.:no school	10-Husb.work.class=PrivateWorker	10,17110	88,06584	
02-Det. house, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	21,10266	81,61765	
02-Det. house, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	12,07224	77,20365	
02-Det. house, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	11,45437	73,25228	
02-Det. house, 01-H. owned	10-Husb.work.class=PrivateWorker	13,92586	75,51546	
02-Det. house, 01-H. owned	11-Wife.work.class=PrivateWorker	13,59316	73,71134	
